county,site,pm2.5,pm10,status,publish_time
基隆市,基隆,6,20,良好,2025/04/12 14:00:00
新北市,汐止,11,23,普通,2025/04/12 14:00:00
新北市,萬里,9,20,良好,2025/04/12 14:00:00
新北市,新店,16,28,普通,2025/04/12 14:00:00
新北市,土城,30,51,普通,2025/04/12 14:00:00
新北市,板橋,23,39,普通,2025/04/12 14:00:00
新北市,新莊,23,42,普通,2025/04/12 14:00:00
新北市,菜寮,25,45,普通,2025/04/12 14:00:00
新北市,林口,14,45,普通,2025/04/12 14:00:00
新北市,淡水,10,35,普通,2025/04/12 14:00:00
臺北市,士林,22,44,普通,2025/04/12 14:00:00
臺北市,中山,20,35,普通,2025/04/12 14:00:00
臺北市,萬華,21,39,普通,2025/04/12 14:00:00
臺北市,古亭,22,38,普通,2025/04/12 14:00:00
臺北市,松山,21,26,普通,2025/04/12 14:00:00
臺北市,大同,20,42,普通,2025/04/12 14:00:00
桃園市,桃園,11,38,普通,2025/04/12 14:00:00
桃園市,大園,12,34,普通,2025/04/12 14:00:00
桃園市,觀音,11,29,普通,2025/04/12 14:00:00
桃園市,平鎮,12,33,普通,2025/04/12 14:00:00
桃園市,龍潭,11,44,普通,2025/04/12 14:00:00
新竹縣,湖口,14,35,普通,2025/04/12 14:00:00
新竹縣,竹東,9,29,普通,2025/04/12 14:00:00
新竹市,新竹,19,40,普通,2025/04/12 14:00:00
苗栗縣,頭份,12,36,普通,2025/04/12 14:00:00
苗栗縣,苗栗,10,29,良好,2025/04/12 14:00:00
苗栗縣,三義,12,32,普通,2025/04/12 14:00:00
臺中市,豐原,12,28,普通,2025/04/12 14:00:00
臺中市,沙鹿,12,36,普通,2025/04/12 14:00:00
臺中市,大里,16,40,普通,2025/04/12 14:00:00
臺中市,忠明,14,35,普通,2025/04/12 14:00:00
臺中市,西屯,8,44,普通,2025/04/12 14:00:00
彰化縣,彰化,9,26,普通,2025/04/12 14:00:00
彰化縣,線西,8,22,普通,2025/04/12 14:00:00
彰化縣,二林,7,22,普通,2025/04/12 14:00:00
南投縣,南投,13,61,普通,2025/04/12 14:00:00
雲林縣,斗六,12,36,普通,2025/04/12 14:00:00
雲林縣,崙背,11,21,普通,2025/04/12 14:00:00
嘉義縣,新港,10,22,普通,2025/04/12 14:00:00
嘉義縣,朴子,9,15,普通,2025/04/12 14:00:00
雲林縣,臺西,6,20,普通,2025/04/12 14:00:00
嘉義市,嘉義,16,48,普通,2025/04/12 14:00:00
臺南市,新營,12,21,普通,2025/04/12 14:00:00
臺南市,善化,14,18,普通,2025/04/12 14:00:00
臺南市,安南,8,17,普通,2025/04/12 14:00:00
臺南市,臺南,7,15,良好,2025/04/12 14:00:00
高雄市,美濃,9,27,良好,2025/04/12 14:00:00
高雄市,橋頭,10,17,普通,2025/04/12 14:00:00
高雄市,仁武,12,9,普通,2025/04/12 14:00:00
高雄市,鳳山,14,17,普通,2025/04/12 14:00:00
高雄市,大寮,16,31,良好,2025/04/12 14:00:00
高雄市,林園,10,19,良好,2025/04/12 14:00:00
高雄市,楠梓,19,16,普通,2025/04/12 14:00:00
高雄市,左營,10,14,良好,2025/04/12 14:00:00
高雄市,前金,16,30,良好,2025/04/12 14:00:00
高雄市,前鎮,7,27,良好,2025/04/12 14:00:00
高雄市,小港,8,15,良好,2025/04/12 14:00:00
屏東縣,屏東,16,29,普通,2025/04/12 14:00:00
屏東縣,潮州,9,22,良好,2025/04/12 14:00:00
屏東縣,恆春,8,15,良好,2025/04/12 14:00:00
臺東縣,臺東,10,33,良好,2025/04/12 14:00:00
花蓮縣,花蓮,10,28,良好,2025/04/12 14:00:00
臺北市,陽明,16,33,普通,2025/04/12 14:00:00
宜蘭縣,宜蘭,15,31,良好,2025/04/12 14:00:00
宜蘭縣,冬山,10,25,良好,2025/04/12 14:00:00
新北市,三重,21,45,普通,2025/04/12 14:00:00
桃園市,中壢,15,41,普通,2025/04/12 14:00:00
南投縣,竹山,14,30,普通,2025/04/12 14:00:00
新北市,永和,21,35,普通,2025/04/12 14:00:00
高雄市,復興,10,20,良好,2025/04/12 14:00:00
南投縣,埔里,18,33,普通,2025/04/12 14:00:00
連江縣,馬祖,9,30,普通,2025/04/12 14:00:00
金門縣,金門,13,18,良好,2025/04/12 14:00:00
澎湖縣,馬公,7,23,良好,2025/04/12 14:00:00
臺東縣,關山,5,23,良好,2025/04/12 14:00:00
雲林縣,麥寮,8,17,普通,2025/04/12 14:00:00
新北市,富貴角,16,52,普通,2025/04/12 14:00:00
彰化縣,大城,9,24,普通,2025/04/12 14:00:00
彰化縣,員林,20,44,普通,2025/04/12 14:00:00
宜蘭縣,宜蘭（頭城）,11,37,普通,2025/04/12 14:00:00
高雄市,高雄（湖內）,8,21,良好,2025/04/12 14:00:00
臺南市,臺南（麻豆）,12,21,普通,2025/04/12 14:00:00
屏東縣,屏東（琉球）,13,19,良好,2025/04/12 14:00:00
臺中市,台中市（和平區消防隊）,8,13,良好,2025/04/12 14:00:00
新北市,新北（樹林）,24,42,普通,2025/04/12 14:00:00
臺南市,臺南（南化）,9,26,良好,2025/04/12 14:00:00
屏東縣,屏東(枋山),4,17,良好,2025/04/12 14:00:00
