county,site,PM2.5,PM10
臺北市,陽明,無,無
臺北市,大同,無,無
臺北市,松山,無,無
臺北市,古亭,無,無
臺北市,萬華,無,無
臺北市,中山,無,無
臺北市,士林,無,無
新北市,永和,無,無
新北市,三重,無,無
新北市,淡水,無,無
新北市,林口,無,無
新北市,菜寮,無,無
新北市,新莊,無,無
新北市,板橋,無,無
新北市,土城,無,無
新北市,新店,無,無
新北市,萬里,無,無
新北市,汐止,無,無
基隆市,基隆,無,無
桃園市,中壢,無,無
桃園市,龍潭,無,無
桃園市,平鎮,無,無
桃園市,觀音,無,無
桃園市,大園,無,無
桃園市,桃園,無,無
新竹市,新竹,無,無
新竹縣,竹東,無,無
新竹縣,湖口,無,無
苗栗縣,三義,無,無
苗栗縣,苗栗,無,無
苗栗縣,頭份,無,無
臺中市,西屯,無,無
臺中市,忠明,無,無
臺中市,大里,無,無
臺中市,沙鹿,無,無
臺中市,豐原,無,無
彰化縣,二林,無,無
彰化縣,線西,無,無
彰化縣,彰化,無,無
南投縣,埔里,無,無
南投縣,竹山,無,無
南投縣,南投,無,無
雲林縣,麥寮,無,無
雲林縣,臺西,無,無
雲林縣,崙背,無,無
雲林縣,斗六,無,無
高雄市,復興,無,無
高雄市,小港,無,無
高雄市,前鎮,無,無
高雄市,前金,無,無
高雄市,左營,無,無
高雄市,楠梓,無,無
高雄市,林園,無,無
高雄市,大寮,無,無
高雄市,鳳山,無,無
高雄市,仁武,無,無
高雄市,橋頭,無,無
高雄市,美濃,無,無
臺南市,臺南,無,無
臺南市,安南,無,無
臺南市,善化,無,無
臺南市,新營,無,無
嘉義市,嘉義,無,無
嘉義縣,朴子,無,無
嘉義縣,新港,無,無
屏東縣,潮州,無,無
屏東縣,屏東,無,無
屏東縣,恆春,無,無
宜蘭縣,冬山,無,無
宜蘭縣,宜蘭,無,無
花蓮縣,花蓮,無,無
臺東縣,關山,無,無
臺東縣,臺東,無,無
金門縣,金門,無,無
澎湖縣,馬公,無,無
連江縣,馬祖,無,無
